UnitedHealth Group Inc,Johnson & Johnson,Walmart Inc,Verizon Communications Inc,McDonald's Corp,Nextera Energy Inc,Duke Energy Corp,Southern Co,Dominion Energy Inc,Consolidated Edison Inc
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0019347603079997177,0.0,0.0,0.0021246294693349744,0.0,0.0027390708007939994,0.0,0.0
-0.0020674138473148348,0.0,-0.0019347603079997177,0.0,-0.0015119260792001133,-0.0021246294693349744,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0020674138473148348,0.0,0.0019347603079997177,0.0,0.0,0.0021246294693349744,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0020674138473148348,0.0,-0.0019347603079997177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0020674138473148348,0.0,-0.0019347603079997177,0.0,0.0,-0.0021246294693349744,0.0,0.0,0.0,0.0
-0.0020674138473148348,0.0,0.0,0.0,-0.0015119260792001133,0.0,0.0,0.0,0.0,0.0
0.0020674138473148348,0.001906118297065932,0.0019347603079997177,0.0,0.0015119260792001133,0.0021246294693349744,0.0,0.0027390708007939994,0.0,0.0
0.0,0.0,-0.0019347603079997177,0.0,-0.0015119260792001133,-0.0021246294693349744,0.0,0.0,0.0,0.0
0.0020674138473148348,0.0,0.0019347603079997177,0.0,0.0015119260792001133,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.0015119260792001133,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.0019347603079997177,0.0,0.0,0.0,0.0,-0.0027390708007939994,0.0,-0.0028278181815530605
-0.0020674138473148348,0.0,0.0,0.0,0.0,-0.0021246294693349744,0.0,0.0,0.0,0.0
0.0020674138473148348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.0015119260792001133,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.0019347603079997177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0020674138473148348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-0.0021246294693349744,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0019347603079997177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0020674138473148348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.001906118297065932,-0.0019347603079997177,0.0,0.0,-0.0021246294693349744,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0020674138473148348,0.0,0.0019347603079997177,0.0,0.0015119260792001133,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0019347603079997177,0.0,0.0015119260792001133,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0019347603079997177,0.0,0.0015119260792001133,0.0021246294693349744,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0015119260792001133,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.0019347603079997177,0.0,0.0,-0.0021246294693349744,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0015119260792001133,0.0,0.0,0.0,0.0,0.0028278181815530605
0.0020674138473148348,0.001906118297065932,0.0019347603079997177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.0019347603079997177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0020674138473148348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0019347603079997177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0019347603079997177,0.0,0.0015119260792001133,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0020674138473148348,0.0,0.0,0.0,0.0015119260792001133,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0015119260792001133,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.0015119260792001133,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0019347603079997177,0.0,0.0015119260792001133,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.001906118297065932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.0019347603079997177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.0019347603079997177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-0.0021246294693349744,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-0.0021246294693349744,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0020674138473148348,0.001906118297065932,0.0019347603079997177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0020674138473148348,0.0,0.0,0.0,0.0015119260792001133,0.0021246294693349744,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0020674138473148348,0.0,0.0,0.0,0.0,-0.0021246294693349744,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0019347603079997177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.0019347603079997177,0.0,-0.0015119260792001133,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0020674138473148348,0.001906118297065932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0020674138473148348,-0.001906118297065932,-0.0019347603079997177,0.0,0.0,-0.0021246294693349744,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0020674138473148348,0.0,0.0019347603079997177,0.0,0.0015119260792001133,0.0,0.002680374544432809,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0015119260792001133,0.0021246294693349744,0.002680374544432809,0.0027390708007939994,0.0025446133215705816,0.0
0.0,0.0,0.0,0.0,0.0015119260792001133,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0021246294693349744,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0019347603079997177,0.0,0.0015119260792001133,0.0021246294693349744,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0021246294693349744,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0015119260792001133,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0015119260792001133,0.0021246294693349744,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0015119260792001133,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0020674138473148348,0.0,-0.0019347603079997177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0020674138473148348,0.0,-0.0019347603079997177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0020674138473148348,0.0,0.0,0.0,-0.0015119260792001133,0.0,0.0,0.0,0.0,0.0
0.0020674138473148348,0.0,0.0019347603079997177,0.0,0.0015119260792001133,0.0021246294693349744,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0020674138473148348,0.0,0.0,0.0,-0.0015119260792001133,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.0019347603079997177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.0015119260792001133,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0015119260792001133,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0015119260792001133,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0015119260792001133,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0020674138473148348,-0.001906118297065932,-0.0019347603079997177,0.0,-0.0015119260792001133,-0.0021246294693349744,0.0,0.0,-0.0025446133215705816,0.0
0.0,0.0,0.0,0.0,0.0015119260792001133,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0021246294693349744,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0015119260792001133,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0020674138473148348,0.0,-0.0019347603079997177,0.0,-0.0015119260792001133,0.0,0.0,0.0,0.0,0.0
0.0020674138473148348,0.001906118297065932,0.0019347603079997177,0.003074422568008836,0.0015119260792001133,0.0021246294693349744,0.002680374544432809,0.0,0.0025446133215705816,0.0028278181815530605
0.0,0.0,0.0019347603079997177,0.0,0.0015119260792001133,0.0021246294693349744,0.0,0.0027390708007939994,0.0025446133215705816,0.0
0.0020674138473148348,0.0,0.0,0.0,0.0015119260792001133,0.0,0.002680374544432809,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0019347603079997177,0.003074422568008836,0.0015119260792001133,0.0,0.0,0.0,0.0,0.0
0.0,0.001906118297065932,0.0,0.0,0.0015119260792001133,0.0021246294693349744,0.0,0.0,0.0,0.0
-0.0020674138473148348,0.0,-0.0019347603079997177,0.0,0.0,-0.0021246294693349744,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0020674138473148348,0.001906118297065932,0.0019347603079997177,0.0,0.0015119260792001133,0.0021246294693349744,0.0,0.0,0.0,0.0
0.0,0.001906118297065932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0020674138473148348,0.001906118297065932,0.0,0.0,0.0015119260792001133,0.0021246294693349744,0.002680374544432809,0.0027390708007939994,0.0025446133215705816,0.0
0.0,0.0,-0.0019347603079997177,0.0,-0.0015119260792001133,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.0019347603079997177,0.0,0.0,-0.0021246294693349744,0.0,0.0,0.0,0.0
0.0,-0.001906118297065932,0.0,0.0,-0.0015119260792001133,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-0.0021246294693349744,0.0,0.0,0.0,0.0
0.0020674138473148348,0.001906118297065932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0019347603079997177,0.0,0.0015119260792001133,0.0021246294693349744,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0020674138473148348,0.0,0.0,0.0,0.0015119260792001133,0.0021246294693349744,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0020674138473148348,0.0,-0.0019347603079997177,0.0,-0.0015119260792001133,-0.0021246294693349744,0.0,0.0,0.0,-0.0028278181815530605
0.0020674138473148348,0.001906118297065932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0020674138473148348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0025446133215705816,0.0028278181815530605
0.0041348276946296695,0.001906118297065932,0.0019347603079997177,0.003074422568008836,-0.0015119260792001133,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.002680374544432809,0.0,-0.0025446133215705816,0.0
0.0,-0.001906118297065932,0.0038695206159994355,-0.003074422568008836,-0.0015119260792001133,-0.0021246294693349744,-0.002680374544432809,0.0,-0.0025446133215705816,0.0
0.0041348276946296695,0.0,0.0,0.0,0.0015119260792001133,-0.0021246294693349744,0.0,0.0,0.0025446133215705816,0.0028278181815530605
0.0020674138473148348,0.0,0.0,0.003074422568008836,0.0,0.0,0.0,0.0,0.0,-0.0028278181815530605
-0.0020674138473148348,0.0,-0.0019347603079997177,0.0,0.0,0.0,-0.002680374544432809,-0.0027390708007939994,-0.0025446133215705816,-0.0028278181815530605
0.0020674138473148348,-0.001906118297065932,-0.0038695206159994355,0.0,-0.0015119260792001133,-0.0021246294693349744,-0.002680374544432809,-0.0027390708007939994,-0.0025446133215705816,-0.0028278181815530605
0.0,0.001906118297065932,0.0,0.0,0.0,0.0,0.0,0.0027390708007939994,0.0025446133215705816,0.0
0.0,0.0,0.0019347603079997177,0.0,0.0030238521584002266,0.0021246294693349744,0.0,0.0,0.0,0.0
0.0,-0.001906118297065932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.001906118297065932,-0.0019347603079997177,-0.003074422568008836,0.0,0.0,-0.002680374544432809,-0.0027390708007939994,-0.0025446133215705816,-0.0028278181815530605
0.0,-0.001906118297065932,0.0019347603079997177,-0.003074422568008836,-0.0030238521584002266,-0.0021246294693349744,0.0,-0.0027390708007939994,-0.0025446133215705816,-0.0028278181815530605
0.0,0.001906118297065932,-0.0019347603079997177,0.0,0.0,0.0,-0.002680374544432809,0.0,0.0,0.0
0.0020674138473148348,0.001906118297065932,0.0019347603079997177,0.0,-0.0015119260792001133,0.0,0.0,0.0,0.0,0.0028278181815530605
0.0,0.0,-0.0019347603079997177,0.0,-0.0015119260792001133,0.0,0.0,0.0,0.0,0.0
0.0,0.001906118297065932,0.0,0.0,0.0015119260792001133,0.0021246294693349744,0.0,0.0,0.0025446133215705816,0.0028278181815530605
0.0,0.0,0.0038695206159994355,0.0,0.0,0.0021246294693349744,0.0,0.0,0.0,0.0
0.0,0.0,0.0019347603079997177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.0019347603079997177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0020674138473148348,0.0,0.0,0.0,0.0,0.0,-0.002680374544432809,-0.0027390708007939994,-0.0025446133215705816,-0.0028278181815530605
-0.0020674138473148348,-0.001906118297065932,0.0,0.0,0.0015119260792001133,0.0,0.0,0.0,-0.0025446133215705816,0.0
0.0,0.0,0.0019347603079997177,0.003074422568008836,0.0015119260792001133,0.0,0.0,0.0,0.0,-0.0028278181815530605
0.0,0.001906118297065932,-0.0019347603079997177,0.0,0.0,0.0,0.002680374544432809,0.0027390708007939994,0.0025446133215705816,0.0028278181815530605
-0.0020674138473148348,0.0,0.0,0.0,0.0,-0.0021246294693349744,0.0,0.0,0.0,0.0
0.0,0.0,0.0019347603079997177,0.0,0.0,0.0,0.0,0.0,0.0025446133215705816,0.0
0.0020674138473148348,0.0,0.0,0.003074422568008836,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.002680374544432809,0.0027390708007939994,0.0025446133215705816,0.0028278181815530605
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0038695206159994355,0.0,-0.0015119260792001133,0.0,0.0,0.0027390708007939994,0.0025446133215705816,0.0
-0.0020674138473148348,-0.001906118297065932,-0.0019347603079997177,0.0,-0.0015119260792001133,-0.0021246294693349744,0.0,0.0,0.0,0.0
-0.0020674138473148348,0.0,0.0,0.0,-0.0015119260792001133,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.0038695206159994355,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0020674138473148348,0.0,0.0,0.0,0.0015119260792001133,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0015119260792001133,0.0,0.0,0.0,0.0,0.0028278181815530605
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0021246294693349744,0.0,0.0,0.0,0.0
0.0,0.0,-0.0019347603079997177,0.0,-0.0015119260792001133,0.0,0.0,0.0,0.0,0.0028278181815530605
-0.0020674138473148348,-0.001906118297065932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0015119260792001133,0.0021246294693349744,0.0,0.0,0.0,0.0
0.0020674138473148348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0015119260792001133,0.0021246294693349744,0.0,0.0,0.0,0.0
0.0020674138473148348,0.0,0.0019347603079997177,0.0,0.0015119260792001133,0.0,0.0,0.0,0.0,0.0
-0.0020674138473148348,0.0,0.0,0.0,0.0,0.0,0.0,-0.0027390708007939994,0.0,0.0
0.0020674138473148348,0.0,0.0,0.0,0.0,0.0021246294693349744,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0015119260792001133,0.0,-0.002680374544432809,0.0,0.0,0.0
0.0,0.0,-0.0019347603079997177,0.0,-0.0015119260792001133,0.0,0.0,0.0,0.0,0.0028278181815530605
0.0020674138473148348,0.001906118297065932,0.0019347603079997177,0.0,0.0015119260792001133,0.0021246294693349744,0.0,0.0,0.0,0.0
0.0,-0.001906118297065932,0.0019347603079997177,0.0,-0.0015119260792001133,0.0,0.0,0.0,0.0,0.0
-0.0020674138473148348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0020674138473148348,0.0,0.0,0.0,0.0,-0.0021246294693349744,0.0,0.0,0.0,0.0
0.0,0.0,0.0019347603079997177,0.0,0.0,0.0,0.002680374544432809,0.0027390708007939994,0.0025446133215705816,0.0028278181815530605
0.0020674138473148348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.0019347603079997177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0015119260792001133,0.0,0.0,0.0,0.0,0.0
-0.0020674138473148348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0020674138473148348,0.0,0.0019347603079997177,0.0,0.0015119260792001133,0.0,0.0,0.0,0.0,0.0
-0.0020674138473148348,0.0,-0.0019347603079997177,0.0,-0.0015119260792001133,-0.0021246294693349744,0.0,0.0,0.0,0.0
0.0020674138473148348,0.0,0.0019347603079997177,0.0,0.0015119260792001133,0.0021246294693349744,0.002680374544432809,0.0027390708007939994,0.0025446133215705816,0.0
0.0020674138473148348,0.0,0.0,0.0,0.0015119260792001133,0.0021246294693349744,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-0.0021246294693349744,0.0,0.0,0.0,0.0
0.0,0.0,0.0019347603079997177,0.0,0.0,0.0,-0.002680374544432809,-0.0027390708007939994,-0.0025446133215705816,-0.0028278181815530605
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0020674138473148348,-0.001906118297065932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0020674138473148348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.001906118297065932,0.0019347603079997177,0.0,0.0,0.0,0.0,0.0,0.0,0.0028278181815530605
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0019347603079997177,0.0,0.0015119260792001133,0.0,0.0,0.0,0.0025446133215705816,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0019347603079997177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-0.0021246294693349744,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028278181815530605
0.0,0.0,0.0,0.0,0.0015119260792001133,0.0021246294693349744,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.0019347603079997177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.0015119260792001133,0.0,0.0,0.0,0.0,0.0
0.0020674138473148348,0.0,0.0,0.0,0.0015119260792001133,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.0015119260792001133,0.0,0.0,0.0,0.0,0.0
0.0,0.001906118297065932,-0.0019347603079997177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0020674138473148348,-0.001906118297065932,-0.0019347603079997177,-0.003074422568008836,0.0,-0.0021246294693349744,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0020674138473148348,0.0,-0.0019347603079997177,0.0,0.0015119260792001133,0.0021246294693349744,0.0,0.0,0.0,0.0
0.0,0.0,0.0019347603079997177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.0015119260792001133,0.0,0.0,0.0,0.0,0.0
0.0020674138473148348,0.0,-0.0019347603079997177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.0019347603079997177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
